transaction_id,account_id,transaction_date,transaction_type,amount,merchant,channel,description
TXN0000001,1123,2026-04-17T04:44:04,TRANSFER,-796.48,Amazon,ONLINE,Recurring charge
TXN0000002,1126,2026-02-05T00:06:06,WITHDRAWAL,-1899.9,Kroger,ONLINE,Wire transfer
TXN0000003,1059,2025-05-19T10:46:52,PAYMENT,1466.0,Starbucks,ONLINE,Direct deposit
TXN0000004,1010,2026-02-10T19:41:36,TRANSFER,-419.36,Home Depot,ONLINE,Monthly subscription
TXN0000005,1011,2025-09-04T15:20:27,DEPOSIT,4261.47,Home Depot,ATM,Bill payment
TXN0000006,1068,2025-09-10T02:24:26,INTEREST,473.83,,MOBILE,Monthly subscription
TXN0000007,1102,2026-01-22T22:21:24,PAYMENT,1386.93,Starbucks,BRANCH,Interest credit
TXN0000008,1042,2026-03-23T21:54:39,DEPOSIT,671.23,CVS,MOBILE,Monthly subscription
TXN0000009,1106,2025-07-09T09:28:15,FEE,-26.72,Costco,WIRE,Interest credit
TXN0000010,1091,2026-02-06T10:43:41,FEE,-6.3,Home Depot,MOBILE,Bill payment
TXN0000011,1124,2025-08-09T14:24:31,DEPOSIT,4439.09,  UBER  ,ATM,Online purchase
TXN0000012,1134,2026-01-15T03:24:06,INTEREST,2887.48,Costco,ATM,Card swipe
TXN0000013,1133,2026-02-06T04:53:14,INTEREST,3505.9,Walmart,MOBILE,Bill payment
TXN0000014,1088,2026-03-16T22:57:31,INTEREST,3384.71,Netflix,WIRE,Recurring charge
TXN0000015,1013,2025-10-29T06:05:23,DEPOSIT,3220.56,Target,BRANCH,Direct deposit
TXN0000016,1019,2025-05-19T13:18:09,PAYMENT,-538.1,Apple,WIRE,ATM cash out
TXN0000017,1140,2025-07-30T06:21:31,INTEREST,1899.4,,ONLINE,Bill payment
TXN0000018,1113,2025-11-09T13:56:52,FEE,-25.16,,BRANCH,Service fee
TXN0000019,1030,2025-10-07T03:16:25,PAYMENT,735.72,Amazon,ONLINE,Card swipe
TXN0000020,1140,2025-12-26T10:06:53,DEPOSIT,4131.28,Kroger,ATM,Card swipe
TXN0000021,1143,2025-09-18T02:35:50,WITHDRAWAL,-1316.1,Uber,ONLINE,ATM cash out
TXN0000022,1116,2026-02-02T07:44:14,TRANSFER,180.45,Costco,ATM,Bill payment
TXN0000023,1029,2025-09-14T22:08:06,DEPOSIT,3799.01,  SHELL  ,ATM,Card swipe
TXN0000024,1133,2025-11-07T05:42:25,TRANSFER,606.29,Amazon,MOBILE,Interest credit
TXN0000025,1027,2026-03-26T23:01:38,TRANSFER,332.56,Shell,BRANCH,ATM cash out
TXN0000026,1117,2025-05-18T01:24:53,WITHDRAWAL,-1439.24,Walmart,WIRE,Monthly subscription
TXN0000027,1115,2025-11-09T17:25:11,PAYMENT,475.37,Whole Foods,ONLINE,Card swipe
TXN0000028,1012,2025-12-13T05:43:13,FEE,-47.09,,BRANCH,Card swipe
TXN0000029,1045,2025-06-09T05:11:34,INTEREST,2896.99,CVS,BRANCH,Recurring charge
TXN0000030,1082,2026-04-20T16:54:07,FEE,-44.66,Netflix,MOBILE,Wire transfer
TXN0000031,1101,2025-06-22T15:55:51,TRANSFER,1411.47,Uber,BRANCH,Recurring charge
TXN0000032,1131,2026-01-31T11:08:59,TRANSFER,1029.22,Whole Foods,WIRE,ATM cash out
TXN0000033,1051,2026-04-22T18:07:46,WITHDRAWAL,-1255.85,Starbucks,MOBILE,Direct deposit
TXN0000034,1128,2026-02-19T10:56:13,FEE,-36.24,Apple,ATM,Card swipe
